Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-07 10:18:38
Trials,5
Model R^2,0.9596
Model RMSE,2.80%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.57%,0.432%,14.458,25.360,0.500,0.552,5.568,9.160,1.005,6.473,0.000,10.094
20%,19.54%,0.459%,15.359,26.281,0.500,0.619,5.040,9.128,1.015,6.379,0.000,8.145
30%,29.90%,0.099%,16.304,27.246,0.476,0.721,4.478,9.095,1.035,6.281,0.000,6.214
40%,39.90%,0.098%,17.248,28.210,0.485,0.818,3.935,9.062,1.147,6.182,0.000,4.809
50%,49.57%,0.431%,18.050,29.029,0.492,0.955,3.515,9.033,1.309,6.099,0.000,3.681
60%,59.59%,0.406%,18.882,29.879,0.499,1.170,3.064,9.004,1.476,6.012,0.000,2.619
70%,69.59%,0.409%,19.813,30.831,0.507,1.432,2.552,8.971,1.664,5.915,0.000,1.782
80%,79.57%,0.426%,20.867,31.907,0.516,1.717,1.986,8.934,1.876,5.806,0.000,1.157
90%,89.56%,0.440%,22.024,33.089,0.526,2.013,1.386,8.894,2.109,5.685,0.000,0.689

Summary
Successful,9/9
Avg Error,0.36%
Min Error,0.10%
Max Error,0.46%
