Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-10 22:45:35
Trials,5
Model R^2,0.9356
Model RMSE,4.06%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.84%,0.162%,31.890,22.770,3.266,1.900,7.000,6.670,2.420,9.010,0.000,3.684
20%,19.97%,0.027%,31.890,22.770,2.790,1.900,6.908,6.670,2.420,9.010,0.000,3.636
30%,29.64%,0.364%,14.008,26.318,1.714,1.262,6.693,17.775,1.982,6.929,0.000,5.301
40%,40.17%,0.168%,31.890,22.770,1.833,1.900,6.737,6.670,2.420,9.010,0.000,3.546
50%,49.93%,0.071%,27.633,28.299,0.849,1.182,6.224,15.129,1.237,5.143,0.000,5.263
60%,59.95%,0.049%,36.947,42.785,1.638,1.753,5.190,16.600,1.252,6.970,0.000,2.960
70%,70.00%,0.001%,21.940,28.796,1.334,1.319,4.317,13.040,2.584,8.947,0.000,3.273
80%,80.10%,0.102%,25.509,38.130,1.291,2.079,4.286,10.967,2.806,14.987,0.000,2.062
90%,90.03%,0.033%,13.403,19.586,0.625,2.186,4.606,7.475,2.800,14.614,0.000,2.107

Summary
Successful,9/9
Avg Error,0.11%
Min Error,0.00%
Max Error,0.36%
