trial_id,speed,verticalSpeed,idleUpwardSpeed,lifeTime,RemoveHealthEveryLifeTime,removeHealthWithCollide,timeBetweenCollides,healHealthPoint,factorForce
1,12.5,20,1,1.5,1.5,8,2.5,5,0
2,18,25,1.2,2,1.6,6,3,8,0
3,22,35,1.5,2.5,1.5,5,4,12,0
4,10,15,0.8,1,1.5,12,1.5,3,0
5,25,40,2,3,1.5,4,5,15,0
6,15,18,0.5,1.2,1.44,10,2,4,0
7,20,30,1.8,2.2,1.54,7,3.5,10,0
8,13,22,1.1,1.8,1.62,9,2.8,6,0
9,17.5,28,1.4,2.1,1.575,6.5,3.2,9,0
10,21,32,1.6,2.4,1.56,5.5,3.8,11,0
11,11,16,0.9,1.3,1.69,11,2.2,4.5,0
12,24,38,1.9,2.8,1.54,4.5,4.5,14,0
13,16,24,1.3,1.9,1.52,7.5,3.1,7.5,0
14,19,26,1.7,2.3,1.61,6.2,3.6,9.5,0
15,14,19,1,1.6,1.76,8.5,2.6,5.5,0
16,18,28,0.3,1.5,1.275,6,1.8,7,0
17,15,30,0.4,1.2,1.2,7,1.5,5,0
18,22,25,0.5,1.0,0.9,8,1.6,6,0
19,20,32,0.2,1.3,1.43,9,1.4,4,0
20,25,27,0.6,0.8,0.76,10,1.7,5,0
