trial_id,Oxygen heal points(oxygen_per_balloon),RemoveHealthEveryLifeTime(oxygen_drain_per_sec),OxygenCollidePoints (oxygen_loss_per_collision),LifeTime(collision_freeze_time_sec),oxygen_start,speed,vertical_speed,idle_upward_speed,factor_mult
1,5,2,5,1.5,100,15,30,0.01,3
2,10,0.5,2,0,100,18,30,0.01,3
3,6,9,3,0.5,100,22,30,0.01,3
4,9,2.8,4,0.8,100,10,30,0.01,3
5,7.5,1.5,7,0.3,100,25,30,0.01,3
6,5.5,2.5,10,0.7,100,15,30,0.01,3
7,8.5,1,15,1.2,100,20,30,0.01,3
8,6.5,2,9,0.9,100,13,30,0.01,3
9,9.5,0.8,6,0.2,100,17.5,30,0.01,3
10,7,2,8,1.4,100,21,30,0.01,3
11,5.2,1.8,11,0.4,100,11,30,0.01,3
12,8,2.2,9,1,100,24,30,0.01,3
13,6.8,1.1,14,0.6,100,16,30,0.01,3
14,7.2,2.6,13,1.1,100,19,30,0.01,3
15,8.3,0.9,12,0.1,100,14,30,0.01,3
16,9.7,3.5,16,1.5,100,15,30,0.01,3
